submitter	submitter_binary	copykat_euclidian	copykat_pearson	copykat_spearman
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Neuron	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Monocyte	Normal	aneuploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
NA	NA	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Fibroblast	Normal	aneuploid	aneuploid	aneuploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-B	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Fibroblast	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Fibroblast	Normal	diploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Fibroblast	Normal	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Fibroblast	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Neuron	Normal	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Neuron	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Fibroblast	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
NA	NA	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Monocyte	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	aneuploid	aneuploid	aneuploid
Monocyte	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	diploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Neuron	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Fibroblast	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	aneuploid	aneuploid	aneuploid
Lymphocyte	Normal	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
